Source IP,Destination IP,Date,Total Flow Duration,Total Forward Packets,Average Flow Duration,StdDev Flow Duration,Average Forward Packets,StdDev Forward Packets
192.168.20.48,15.160.45.52,2022-06-10,172104.00,18,450483.00,278379.00,54.00,36.00
192.168.20.48,108.136.67.213,2022-07-10,2594026.00,54,2594026.00,0.00,54.00,0.00
192.168.20.43,54.239.27.82,2022-02-11,172626856.00,22,172626856.00,0.00,22.00,0.00
157.241.5.46,192.168.20.48,2022-03-11,6044.00,3,6044.00,0.00,3.00,0.00
192.168.20.43,52.46.143.123,2022-07-10,89739749.00,31,89739749.00,0.00,31.00,0.00
192.168.20.15,52.58.249.179,2022-07-10,62227761708.00,2792,34054399669.50,28173362038.50,1527.00,1265.00
52.94.232.195,192.168.20.43,2022-02-11,2739.00,5,2739.00,0.00,5.00,0.00
192.168.20.43,44.240.184.205,2022-03-11,36458665.00,108,36458665.00,0.00,108.00,0.00
192.168.20.42,142.250.74.240,2022-03-11,436251601.00,451,436251601.00,0.00,451.00,0.00
209.54.180.49,192.168.20.43,2022-03-11,20159.00,13,20159.00,0.00,13.00,0.00
192.168.20.43,54.231.199.9,2022-03-11,9607183.00,328,9607183.00,0.00,328.00,0.00
192.168.20.254,239.255.255.250,2022-02-11,167327.00,48,1719821.50,1552494.50,512.00,464.00
192.168.20.43,35.173.14.214,2022-02-11,4212799.00,10,33871504.00,29658705.00,261.50,251.50
